params,0,A,B,C,RPE-A,RPE-B,RPE-C,ATE-A,ATE-B,ATE-C
-tau_d 0.10 ,1.74054,8.11006,0.264802,2.36263,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177 
-tau_d 0.10 ,1.83115,8.12195,0.261416,2.3895,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177 
-tau_d 0.10 ,1.76738,8.05799,0.253193,2.3369,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177
-tau_d 0.10 ,1.69082,8.01024,0.254357,2.24969,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177 
-tau_d 0.09 ,1.69065,10.4306,0.378846,2.3071,0.030618,0.00467665,0.0036813,0.0880317,0.013172,0.00652679 
-tau_d 0.09 ,1.69414,10.4889,0.373745,2.45031,0.030618,0.00467665,0.0036813,0.0880317,0.013172,0.00652679 
-tau_d 0.08 ,1.73506,14.9927,0.391266,2.87318,0.0262387,0.00389154,0.00313584,0.0836335,0.0102759,0.00474989 
-tau_d 0.07 ,1.74698,21.5153,0.640252,4.0393,0.02993,0.00265515,0.00251057,0.0778701,0.00841014,0.00386408 
-tau_d 0.06 ,1.77902,31.3927,0.391862,3.00564,0.0251064,0.00218213,0.00217969,0.113808,0.00804931,0.00432011 
-tau_d 0.11 ,1.67005,6.5221,0.378457,12.2709,0.0454703,0.00514728,0.00424494,0.123508,0.0147661,0.00654758 
-tau_d 0.12 ,1.83768,5.01847,0.352139,12.0055,0.044999,0.00674643,0.00562033,0.140599,0.0188433,0.00792057 
-tau_d 0.12 ,1.69535,5.00531,0.340385,11.4047,0.044999,0.00674643,0.00562033,0.140599,0.0188433,0.00792057 
-tau_d 0.14 ,1.69424,3.119,0.192632,11.5528,0.0485889,0.00901818,0.0073063,0.172638,0.0259242,0.0107678 
-tau_d 0.16 ,1.67497,2.29908,0.222648,3.41499,0.056735,0.0556039,0.0553086,0.199255,0.100026,0.0830571 
-tau_d 0.14 ,1.68954,3.11188,0.188637,11.3565,0.0485889,0.00901818,0.0073063,0.172638,0.0259242,0.0107678 
-tau_d 0.08 ,1.72847,14.9311,0.382898,2.90257,0.0262387,0.00389154,0.00313584,0.0836335,0.0102759,0.00474989 
-tau_d 0.06 ,1.80156,31.1052,0.389879,3.07591,0.0251064,0.00218213,0.00217969,0.113808,0.00804931,0.00432011 
-tau_d 0.16 ,1.67497,2.29908,0.222648,3.41499,0.056735,0.0556039,0.0553086,0.199255,0.100026,0.0830571 
-tau_d 0.16 ,1.67596,2.34689,0.222476,3.48688,0.056735,0.0556039,0.0553086,0.199255,0.100026,0.0830571 
-nFrames 06 -knn 10 ,1.70947,16.8795,0.394961,8.20467,0.0352998,0.00470227,0.00351687,0.0757247,0.00869203,0.00501063 
