params,0,A,B,C,RPE-A,RPE-B,RPE-C,ATE-A,ATE-B,ATE-C
-tau_d 0.10 ,1.74054,8.11006,0.264802,2.36263,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177 
-tau_d 0.10 ,1.83115,8.12195,0.261416,2.3895,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177 
-tau_d 0.10 ,1.76738,8.05799,0.253193,2.3369,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177
-tau_d 0.10 ,1.69082,8.01024,0.254357,2.24969,0.0323106,0.00393583,0.00334388,0.0740968,0.0066104,0.00521177 
-tau_d 0.08 ,1.73506,14.9927,0.391266,2.87318,0.0262387,0.00389154,0.00313584,0.0836335,0.0102759,0.00474989 
-tau_d 0.06 ,1.77902,31.3927,0.391862,3.00564,0.0251064,0.00218213,0.00217969,0.113808,0.00804931,0.00432011 
-tau_d 0.12 ,1.83768,5.01847,0.352139,12.0055,0.044999,0.00674643,0.00562033,0.140599,0.0188433,0.00792057 
-tau_d 0.12 ,1.69535,5.00531,0.340385,11.4047,0.044999,0.00674643,0.00562033,0.140599,0.0188433,0.00792057 
-tau_d 0.14 ,1.69424,3.119,0.192632,11.5528,0.0485889,0.00901818,0.0073063,0.172638,0.0259242,0.0107678 
-tau_d 0.14 ,1.68954,3.11188,0.188637,11.3565,0.0485889,0.00901818,0.0073063,0.172638,0.0259242,0.0107678 
-tau_d 0.08 ,1.72847,14.9311,0.382898,2.90257,0.0262387,0.00389154,0.00313584,0.0836335,0.0102759,0.00474989 
-tau_d 0.06 ,1.80156,31.1052,0.389879,3.07591,0.0251064,0.00218213,0.00217969,0.113808,0.00804931,0.00432011 
