params,0,A,B,C,RPE-A,RPE-B,RPE-C,ATE-A,ATE-B,ATE-C 
-knn 02 ,2.13981,44.2211,0.682767,2.56395,0.107961,0.0193043,0.0141252,0.130756,0.029214,0.0173652 
-knn 04 ,2.17559,43.9601,0.672259,4.91599,0.107961,0.0193043,0.0132379,0.130756,0.029214,0.0123397 
-knn 06 ,2.14167,44.6078,0.675918,7.25905,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-knn 08 ,2.14052,44.4316,0.669992,8.00267,0.107961,0.0193043,0.0148284,0.130756,0.029214,0.0133653 
-knn 10 ,2.27021,44.6353,0.679026,9.45854,0.107961,0.0193043,0.0143735,0.130756,0.029214,0.0132344 
-knn 08 ,2.1949,44.9543,0.678952,8.25549,0.107961,0.0193043,0.0148284,0.130756,0.029214,0.0133653 
-knn 06 ,2.17552,44.5096,0.675666,6.83846,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-knn 04 ,2.18432,44.2944,0.671603,5.06315,0.107961,0.0193043,0.0132379,0.130756,0.029214,0.0123397 
-knn 02 ,2.23136,44.6728,0.676392,2.41483,0.107961,0.0193043,0.0141252,0.130756,0.029214,0.0173652 
-knn 10 ,2.2021,44.5957,0.680766,9.62018,0.107961,0.0193043,0.0143735,0.130756,0.029214,0.0132344 
