params,0,A,B,C,RPE-A,RPE-B,RPE-C,ATE-A,ATE-B,ATE-C 
-nFrames 04 ,2.22815,35.4233,0.787997,6.41525,0.0706344,0.0204107,0.0132803,0.137928,0.0341238,0.0144617 
-nFrames 06 ,2.17184,44.5078,0.671675,6.94407,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-nFrames 06 ,2.17552,44.5096,0.675666,6.83846,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-nFrames 06 ,2.14167,44.6078,0.675918,7.25905,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-nFrames 08 ,2.27112,53.4074,0.616907,6.22468,0.126332,0.0241215,0.0137602,0.138192,0.0321984,0.0118315 
-nFrames 10 ,2.23166,62.5432,0.612934,4.60854,0.0976059,0.0406991,0.0176972,0.104657,0.0328297,0.0126381 
-nFrames 10 ,2.18213,60.4835,0.601187,4.54489,0.0976059,0.0406991,0.0176972,0.104657,0.0328297,0.0126381 
-nFrames 08 ,2.13018,52.4924,0.608575,5.94834,0.126332,0.0241215,0.0137602,0.138192,0.0321984,0.0118315 
-nFrames 04 ,2.16609,34.781,0.769889,5.91261,0.0706344,0.0204107,0.0132803,0.137928,0.0341238,0.0144617 
-nFrames 03 ,2.12348,29.8759,0.781258,4.94126,0.0861855,0.021004,0.0142214,0.163894,0.0377359,0.0151259 
-nFrames 03 ,2.1501,29.9754,0.772501,5.00193,0.0861855,0.021004,0.0142214,0.163894,0.0377359,0.0151259 
