params,0,A,B,C,RPE-A,RPE-B,RPE-C,ATE-A,ATE-B,ATE-C 
-nFrames 06 -knn 02 ,2.13981,44.2211,0.682767,2.56395,0.107961,0.0193043,0.0141252,0.130756,0.029214,0.0173652 
-nFrames 06 -knn 04 ,2.17559,43.9601,0.672259,4.91599,0.107961,0.0193043,0.0132379,0.130756,0.029214,0.0123397 
-nFrames 06 -knn 06 ,2.14167,44.6078,0.675918,7.25905,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-nFrames 06 -knn 08 ,2.14052,44.4316,0.669992,8.00267,0.107961,0.0193043,0.0148284,0.130756,0.029214,0.0133653 
-nFrames 06 -knn 10 ,2.27021,44.6353,0.679026,9.45854,0.107961,0.0193043,0.0143735,0.130756,0.029214,0.0132344 
-nFrames 06 -knn 08 ,2.1949,44.9543,0.678952,8.25549,0.107961,0.0193043,0.0148284,0.130756,0.029214,0.0133653 
-nFrames 06 -knn 06 ,2.17552,44.5096,0.675666,6.83846,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-nFrames 06 -knn 04 ,2.18432,44.2944,0.671603,5.06315,0.107961,0.0193043,0.0132379,0.130756,0.029214,0.0123397 
-nFrames 06 -knn 02 ,2.23136,44.6728,0.676392,2.41483,0.107961,0.0193043,0.0141252,0.130756,0.029214,0.0173652 
-nFrames 06 -knn 10 ,2.2021,44.5957,0.680766,9.62018,0.107961,0.0193043,0.0143735,0.130756,0.029214,0.0132344 
-knn 06 -nFrames 02 ,2.19813,25.5598,0.825767,7.65219,0.120941,0.100002,0.098178,0.200385,0.206705,0.197511 
-knn 06 -nFrames 04 ,2.22815,35.4233,0.787997,6.41525,0.0706344,0.0204107,0.0132803,0.137928,0.0341238,0.0144617 
-knn 06 -nFrames 06 ,2.17184,44.5078,0.671675,6.94407,0.107961,0.0193043,0.0130398,0.130756,0.029214,0.0114605 
-knn 06 -nFrames 08 ,2.27112,53.4074,0.616907,6.22468,0.126332,0.0241215,0.0137602,0.138192,0.0321984,0.0118315 
-knn 06 -nFrames 10 ,2.23166,62.5432,0.612934,4.60854,0.0976059,0.0406991,0.0176972,0.104657,0.0328297,0.0126381 
-knn 06 -nFrames 10 ,2.18213,60.4835,0.601187,4.54489,0.0976059,0.0406991,0.0176972,0.104657,0.0328297,0.0126381 
-knn 06 -nFrames 08 ,2.13018,52.4924,0.608575,5.94834,0.126332,0.0241215,0.0137602,0.138192,0.0321984,0.0118315 
-knn 06 -nFrames 04 ,2.16609,34.781,0.769889,5.91261,0.0706344,0.0204107,0.0132803,0.137928,0.0341238,0.0144617 
-knn 06 -nFrames 02 ,2.27955,25.5661,0.816994,7.78526,0.120941,0.100002,0.098178,0.200385,0.206705,0.197511 
-knn 06 -nFrames 02 ,2.18776,25.1403,0.806948,7.67998,0.120941,0.100002,0.098178,0.200385,0.206705,0.197511 
-knn 06 -nFrames 02 ,2.13045,25.0504,0.811715,7.86779,0.120941,0.100002,0.098178,0.200385,0.206705,0.197511 
-knn 06 -nFrames 03 ,2.12348,29.8759,0.781258,4.94126,0.0861855,0.021004,0.0142214,0.163894,0.0377359,0.0151259 
-knn 06 -nFrames 03 ,2.1501,29.9754,0.772501,5.00193,0.0861855,0.021004,0.0142214,0.163894,0.0377359,0.0151259 
